feature,chi2,p_value,cramers_v,dof,p_bonferroni,significant
lab_paco2,364.30872195301924,1.4262098683636469e-77,0.08466180940453201,4,5.990081447127317e-76,True
lab_pao2,363.8504881172594,1.7911997896757855e-77,0.08460854810411285,4,7.523039116638299e-76,True
lab_ph,339.2813966574699,3.6146265095050975e-72,0.08170201832081943,4,1.5181431339921408e-70,True
lab_ptt,283.29993872599107,4.3298377905080377e-60,0.074657939901656,4,1.818531872013376e-58,True
lab_inr,270.55645520525064,2.420130066437257e-57,0.07295947692848663,4,1.016454627903648e-55,True
lab_lactate,255.5475174965224,4.153259010981716e-54,0.07090691568448484,4,1.7443687846123208e-52,True
lab_alt,244.48009425981547,1.005944266390725e-51,0.06935447902899303,4,4.2249659188410446e-50,True
lab_ast,238.28458840708657,2.1719758244954295e-50,0.06847006477965784,4,9.122298462880804e-49,True
lab_bilirubin,216.68420080310077,9.691947433857745e-46,0.06529296413085434,4,4.070617922220253e-44,True
lab_albumin,177.27555087146519,2.868100135923691e-37,0.05905778893901217,4,1.20460205708795e-35,True
urine_output_24h,126.02119067693033,2.76120092045662e-26,0.04979371748524171,4,1.1597043865917803e-24,True
temp_c_min,52.00934290362899,1.373262568944979e-10,0.031988468279846825,4,5.767702789568912e-09,True
temp_c_max,52.00934290362899,1.373262568944979e-10,0.031988468279846825,4,5.767702789568912e-09,True
temp_c_mean,52.00934290362899,1.373262568944979e-10,0.031988468279846825,4,5.767702789568912e-09,True
lab_platelets,22.652356759829097,0.00014857018937888152,0.021111031708179462,4,0.006239947953913024,True
lab_hemoglobin,21.500272785209308,0.000251952105967408,0.020567179891402974,4,0.010581988450631135,True
lab_hematocrit,20.16027642222342,0.00046429796033229466,0.01991594888065091,4,0.019500514333956376,True
lab_wbc,19.093179222273164,0.0007534958382920929,0.01938170085467249,4,0.031646825208267906,True
map_mean,12.393348563114715,0.014653804746402353,0.015615183559713024,4,0.6154597993488988,False
map_max,12.393348563114715,0.014653804746402353,0.015615183559713024,4,0.6154597993488988,False
map_min,12.393348563114715,0.014653804746402353,0.015615183559713024,4,0.6154597993488988,False
hr_min,11.279893466577406,0.02359211360852978,0.014897221000919177,4,0.9908687715582507,False
hr_max,11.279893466577406,0.02359211360852978,0.014897221000919177,4,0.9908687715582507,False
hr_mean,11.279893466577406,0.02359211360852978,0.014897221000919177,4,0.9908687715582507,False
lab_bicarbonate,9.048895339964671,0.05988888221724407,0.013342909617409103,4,1.0,False
rr_min,8.389618909352007,0.07830455457633789,0.012847655373463062,4,1.0,False
rr_max,8.389618909352007,0.07830455457633789,0.012847655373463062,4,1.0,False
rr_mean,8.389618909352007,0.07830455457633789,0.012847655373463062,4,1.0,False
lab_bun,8.342508773439164,0.0798073957989112,0.012811532942784507,4,1.0,False
lab_creatinine,8.311291150352929,0.08081818856941166,0.012787540132726552,4,1.0,False
lab_chloride,7.767019067266736,0.10049519078469127,0.01236174974247536,4,1.0,False
lab_potassium,6.978788132411964,0.13701343045976508,0.0117177106216211,4,1.0,False
lab_sodium,6.852109994628302,0.14391299983535852,0.011610874331895229,4,1.0,False
gcs_total_min,6.598508302783444,0.1586884239789996,0.01139398505204874,4,1.0,False
gcs_total_mean,6.598508302783444,0.1586884239789996,0.01139398505204874,4,1.0,False
spo2_min,4.025681995403215,0.4025413272354433,0.00889964112551119,4,1.0,False
spo2_mean,4.025681995403215,0.4025413272354433,0.00889964112551119,4,1.0,False
spo2_max,4.025681995403215,0.4025413272354433,0.00889964112551119,4,1.0,False
sbp_mean,3.6338070800585704,0.4578263598075878,0.00845539099318951,4,1.0,False
sbp_max,3.6338070800585704,0.4578263598075878,0.00845539099318951,4,1.0,False
sbp_min,3.6338070800585704,0.4578263598075878,0.00845539099318951,4,1.0,False
lab_glucose,2.9464708970303866,0.5668229639740603,0.007613841637006735,4,1.0,False
