Model,Dataset,Fairness Axis,EO TPR Gap,EO FPR Gap,Eq. Opportunity,Dem. Parity Gap,Pred. Parity Gap,Cal. Fairness (MaxECE),AUROC Gap
LR,Internal,race_group,0.10080645158318968,0.09132453306564298,0.10080645158318968,0.1441778560422628,0.16208425720681963,0.22554275999009094,0.1077730146822421
LR,Internal,sex,0.0036064704319159757,0.023379489293573474,0.0036064704319159757,0.02643250914441725,0.003261316843796047,0.2289253264644839,0.020435192172646888
LR,Internal,insurance_group,0.052964067300713236,0.07551592089712239,0.052964067300713236,0.08586825618056587,0.022617268130774193,0.234231331818472,0.0400148818980951
LR,Internal,icu_type,0.1965331323675943,0.21525096525100657,0.1965331323675943,0.24188053818467883,0.2429299689517676,0.26587540058731596,0.048409931267756945
RF,Internal,race_group,0.13306451609827818,0.09326715303522629,0.13306451609827818,0.146672536503045,0.16177498253037487,0.1290928547640378,0.06987193226878163
RF,Internal,sex,0.027380005303882737,0.002021243058404759,0.027380005303882737,0.004319930819737305,0.010357482268690599,0.10809595458401307,0.01805173790633363
RF,Internal,insurance_group,0.013066976792797558,0.060229743617559645,0.013066976792797558,0.08289777278897859,0.03727197153939682,0.12120781831287623,0.029310001765790683
RF,Internal,icu_type,0.2254623456544529,0.18799897458438689,0.2254623456544529,0.22039138453413576,0.1714847363496257,0.13305438221364504,0.03872985237970694
XGB,Internal,race_group,0.21357590584242703,0.07972443892976272,0.21357590584242703,0.14058258126054737,0.16393666393756512,0.13306642846767405,0.06264789411638627
XGB,Internal,sex,0.016282153274624234,0.019012052283125747,0.016282153274624234,0.02427027724408709,7.446105801578451e-05,0.12761010455205285,0.018799747531147104
XGB,Internal,insurance_group,0.024697270286252904,0.08009094822967439,0.024697270286252904,0.10043244254486319,0.027003165711404153,0.13919187037020375,0.037531185988357474
XGB,Internal,icu_type,0.15942953215977718,0.15575331428998276,0.15942953215977718,0.18701064899306982,0.13969740633556726,0.1619502344231547,0.02344939672731039
LR,External,race_group,0.16701797810289665,0.2221305828655475,0.16701797810289665,0.2137593659050096,0.04623576015943055,0.45357269447029325,0.0425244923410093
LR,External,sex,0.05844293149494262,0.05188814044928547,0.05844293149494262,0.03506639066499184,0.23855554132256399,0.43448417057573163,0.024437191866746977
RF,External,race_group,0.11818954934224635,0.22068024098181388,0.11818954934224635,0.2071345529725529,0.05762067525082756,0.2926010626574567,0.037089696876855704
RF,External,sex,0.09611367196941589,0.0053925712623761335,0.09611367196941589,0.035868956679830144,0.22101844917671068,0.2650132413361974,0.02049730689663154
XGB,External,race_group,0.09205761926152367,0.15486752164637912,0.09205761926152367,0.14293687363021468,0.04204444731361606,0.3875269296471652,0.04894334855957527
XGB,External,sex,0.09561466564943022,0.02359492641226435,0.09561466564943022,0.10316515982731511,0.26024563037836573,0.38174353547982787,0.03461046383209221
